trials,multiplications,threads,batchsize,time
40,30,1,1,1484936286
40,30,1,8,1466398854
40,30,1,32,1464256744
40,30,1,64,1495040645
40,40,1,1,1543528087
40,40,1,8,1460010462
40,40,1,32,1484172886
40,40,1,64,1452913994
40,50,1,1,1544198552
40,50,1,8,1463108603
40,50,1,32,1474824732
40,50,1,64,1473180072
40,60,1,1,1545658877
40,60,1,8,1499707124
40,60,1,32,1499587318
40,60,1,64,1474588940
40,70,1,1,1553286439
40,70,1,8,1473720585
40,70,1,32,1462506095
40,70,1,64,1461675149
40,80,1,1,1619072362
40,80,1,8,1522525841
40,80,1,32,1533075806
40,80,1,64,1512882314
40,90,1,1,1608780120
40,90,1,8,1532455404
40,90,1,32,1471512359
40,90,1,64,1486723882
40,100,1,1,1630506722
40,100,1,8,1525766258
40,100,1,32,1520723035
40,100,1,64,1470411949
50,10,1,1,1507607997
50,10,1,8,1465033538
50,10,1,32,1481458964
50,10,1,64,1452644700
50,20,1,1,1517793950
50,20,1,8,1475748401
50,20,1,32,1529974548
50,20,1,64,1536744444
50,30,1,1,1603950156
50,30,1,8,1473744148
50,30,1,32,1486852083
50,30,1,64,1487445935
50,40,1,1,1539622214
50,40,1,8,1525253999
50,40,1,32,1514370971
50,40,1,64,1487371686
50,50,1,1,1556222096
50,50,1,8,1479181619
50,50,1,32,1480530405
50,50,1,64,1486513659
50,60,1,1,1543567882
50,60,1,8,1472445186
50,60,1,32,1471583653
50,60,1,64,1450554276
50,70,1,1,1573919404
50,70,1,8,1474909159
50,70,1,32,1491387525
50,70,1,64,1474182749
50,80,1,1,1589446278
50,80,1,8,1476857848
50,80,1,32,1507700991
50,80,1,64,1497177056
50,90,1,1,1622078581
50,90,1,8,1484450035
50,90,1,32,1473651274
50,90,1,64,1463735387
50,100,1,1,1598081777
50,100,1,8,1488807173
50,100,1,32,1491884516
50,100,1,64,1458534408
60,10,1,1,1484379863
60,10,1,8,1478810375
60,10,1,32,1511505375
60,10,1,64,1472591380
60,20,1,1,1526564092
60,20,1,8,1468290276
60,20,1,32,1475812061
60,20,1,64,1481207002
60,30,1,1,1573660079
60,30,1,8,1512401914
60,30,1,32,1508576341
60,30,1,64,1472351681
60,40,1,1,1533745710
60,40,1,8,1521733988
60,40,1,32,1465591272
60,40,1,64,1454773146
60,50,1,1,1568039233
60,50,1,8,1491605764
60,50,1,32,1456146968
60,50,1,64,1463324809
60,60,1,1,1532628307
60,60,1,8,1451956582
60,60,1,32,1442335787
60,60,1,64,1431025348
60,70,1,1,1564513681
60,70,1,8,1470763968
60,70,1,32,1448188426
60,70,1,64,1505696167
60,80,1,1,1665236323
60,80,1,8,1528324028
60,80,1,32,1510661786
60,80,1,64,1536507010
60,90,1,1,1576135674
60,90,1,8,1448745709
60,90,1,32,1466768396
60,90,1,64,1426207347
60,100,1,1,1573157938
60,100,1,8,1489731083
60,100,1,32,1611052495
60,100,1,64,1558623022
70,10,1,1,1622644560
70,10,1,8,1602858973
70,10,1,32,1519782444
70,10,1,64,1535736438
70,20,1,1,1559263811
70,20,1,8,1553938710
70,20,1,32,1523824612
70,20,1,64,1505564601
70,30,1,1,1577354436
70,30,1,8,1531545139
70,30,1,32,1526191995
70,30,1,64,1567578672
70,40,1,1,1616248574
70,40,1,8,1524580298
70,40,1,32,1496378982
70,40,1,64,1501277524
70,50,1,1,1628089727
70,50,1,8,1523997977
70,50,1,32,1529232478
70,50,1,64,1511630249
70,60,1,1,1650361210
70,60,1,8,1546621910
70,60,1,32,1511959476
70,60,1,64,1520398337
70,70,1,1,1651688965
70,70,1,8,1532557735
70,70,1,32,1531137376
70,70,1,64,1555522846
70,80,1,1,1666093407
70,80,1,8,1525693242
70,80,1,32,1538842494
70,80,1,64,1521892204
70,90,1,1,1701886188
70,90,1,8,1546635726
70,90,1,32,1527412621
70,90,1,64,1581397016
70,100,1,1,1731779243
70,100,1,8,1527630769
70,100,1,32,1514364800
70,100,1,64,1516650860
80,10,1,1,1550148945
80,10,1,8,1522588508
80,10,1,32,1565809819
80,10,1,64,1569769774
80,20,1,1,1622991420
80,20,1,8,1542009934
80,20,1,32,1501490332
80,20,1,64,1505008841
80,30,1,1,1598571444
80,30,1,8,1551493923
80,30,1,32,1517583376
80,30,1,64,1522669579
80,40,1,1,1653399659
80,40,1,8,1545589006
80,40,1,32,1586802777
80,40,1,64,1519571619
80,50,1,1,1653514444
80,50,1,8,1534097128
80,50,1,32,1539365112
80,50,1,64,1511302285
80,60,1,1,1678842539
80,60,1,8,1568118211
80,60,1,32,1535551100
80,60,1,64,1555376583
80,70,1,1,1700883311
80,70,1,8,1544560861
80,70,1,32,1514284799
80,70,1,64,1528456325
80,80,1,1,1787623559
80,80,1,8,1580703687
80,80,1,32,1529133884
80,80,1,64,1519860460
80,90,1,1,1707808728
80,90,1,8,1549725893
80,90,1,32,1549777249
80,90,1,64,1547653672
80,100,1,1,1782501479
80,100,1,8,1573620785
80,100,1,32,1527491198
80,100,1,64,1530205049
90,10,1,1,1589239310
90,10,1,8,1510811616
90,10,1,32,1512145975
90,10,1,64,1514470438
90,20,1,1,1600819703
90,20,1,8,1539947803
90,20,1,32,1512942386
90,20,1,64,1525758043
90,30,1,1,1626319812
90,30,1,8,1556944118
90,30,1,32,1549459614
90,30,1,64,1590900561
90,40,1,1,1699570121
90,40,1,8,1572030847
90,40,1,32,1535967570
90,40,1,64,1518288016
90,50,1,1,1744463002
90,50,1,8,1595753637
90,50,1,32,1551923136
90,50,1,64,1518108639
90,60,1,1,1725885797
90,60,1,8,1598846509
90,60,1,32,1554306779
90,60,1,64,1574567037
90,70,1,1,1782236703
90,70,1,8,1607812809
90,70,1,32,1640615591
90,70,1,64,1597725811
90,80,1,1,1651050570
90,80,1,8,1492521318
90,80,1,32,1487696334
90,80,1,64,1521366069
90,90,1,1,1717190445
90,90,1,8,1515088244
90,90,1,32,1498976455
90,90,1,64,1674876974
90,100,1,1,1906471429
90,100,1,8,1634053032
90,100,1,32,1573627828
90,100,1,64,1544615323
100,10,1,1,1664638012
100,10,1,8,1558820341
100,10,1,32,1574993345
100,10,1,64,1571840400
100,20,1,1,1652877902
100,20,1,8,1569217961
100,20,1,32,1579347768
100,20,1,64,1573332244
100,30,1,1,1671467320
100,30,1,8,1574098329
100,30,1,32,1594766139
100,30,1,64,1553870683
100,40,1,1,1653099968
100,40,1,8,1578588847
100,40,1,32,1605897101
100,40,1,64,1593327705
100,50,1,1,1687968407
100,50,1,8,1607345604
100,50,1,32,1617295394
100,50,1,64,1570950194
100,60,1,1,1736754198
100,60,1,8,1669775152
100,60,1,32,1641980666
100,60,1,64,1592242854
100,70,1,1,1828198355
100,70,1,8,1570675139
100,70,1,32,1584118050
100,70,1,64,1570367984
100,80,1,1,1808882586
100,80,1,8,1582744900
100,80,1,32,1569506250
100,80,1,64,1544506358
100,90,1,1,1854594631
100,90,1,8,1624583281
100,90,1,32,1588501739
100,90,1,64,1596745746
100,100,1,1,1863004018
100,100,1,8,1581366458
100,100,1,32,1563276756
100,100,1,64,1591526193
