trials,multiplications,threads,time
300,500,8,1861797072
300,600,1,2682572467
300,600,2,1908741306
300,600,4,2140068604
300,600,8,2376363129
300,700,1,3162488982
300,700,2,2702825017
300,700,4,2592015004
300,700,8,2340528571
300,800,1,2562049061
300,800,2,3152264764
300,800,4,3031486662
300,800,8,3839975377
300,900,1,1811899991
300,900,2,2180474960
300,900,4,3545934317
300,900,8,2780628936
300,1000,1,2419856163
300,1000,2,2800419291
300,1000,4,3081949532
300,1000,8,2475375658
400,100,1,613596409
400,100,2,518094562
400,100,4,565896691
400,100,8,485136588
400,200,1,1012462860
400,200,2,854629845
400,200,4,963196519
400,200,8,864337817
400,300,1,1241331705
400,300,2,1111119123
400,300,4,1009126946
400,300,8,1065722576
400,400,1,1323938074
400,400,2,1399147047
400,400,4,1415197361
400,400,8,1350002494
400,500,1,1713899786
400,500,2,1692114306
400,500,4,1687834695
400,500,8,1722808032
400,600,1,2018284108
400,600,2,2009474908
400,600,4,2007467420
400,600,8,1977742098
400,700,1,2237964263
400,700,2,2305772462
400,700,4,3291379451
400,700,8,2083790157
400,800,1,2300472611
400,800,2,2519580545
400,800,4,2730439748
400,800,8,2323901246
400,900,1,2935359884
400,900,2,2876063158
400,900,4,4090020952
400,900,8,4028931651
400,1000,1,3247966216
400,1000,2,3284976224
400,1000,4,3312973993
400,1000,8,3359714646
500,100,1,532121037
500,100,2,562840129
500,100,4,525434591
500,100,8,507552358
500,200,1,962426007
500,200,2,908369018
500,200,4,932896952
500,200,8,967382465
500,300,1,1284620657
500,300,2,1278935325
500,300,4,1343911633
500,300,8,1316745550
500,400,1,1791551451
500,400,2,1776832318
500,400,4,1775344203
500,400,8,1776022293
500,500,1,2316861319
500,500,2,2148842177
500,500,4,2175345608
500,500,8,2135638802
500,600,1,2686181933
500,600,2,2635174503
500,600,4,2607096734
500,600,8,2375261707
500,700,1,2880661936
500,700,2,2841363033
500,700,4,3022779613
500,700,8,2934824372
500,800,1,3210961477
500,800,2,3154121440
500,800,4,3218233621
500,800,8,3331137373
500,900,1,3698262296
500,900,2,3595692569
500,900,4,3623634011
500,900,8,3710738060
500,1000,1,4067171561
500,1000,2,4145995099
500,1000,4,4000543952
500,1000,8,4111909605
600,100,1,557926552
600,100,2,678465346
600,100,4,592275709
600,100,8,628330069
600,200,1,999012733
600,200,2,1115203999
600,200,4,987796076
600,200,8,1017760526
600,300,1,1511111631
600,300,2,1775787613
600,300,4,1492739741
600,300,8,1763435371
600,400,1,2608705657
600,400,2,2284695949
600,400,4,2123083259
600,400,8,2027078049
600,500,1,2506127713
600,500,2,3458532211
600,500,4,2997754109
600,500,8,2875730585
600,600,1,2933711238
600,600,2,2885160157
600,600,4,2981545969
600,600,8,2893938979
600,700,1,3270153418
600,700,2,3457713848
600,700,4,3321371081
600,700,8,3456571360
600,800,1,3813565430
600,800,2,4007592186
600,800,4,3094591407
600,800,8,3034302783
600,900,1,3299235075
600,900,2,3387558897
600,900,4,3373762712
600,900,8,3367791194
600,1000,1,3705730476
600,1000,2,3721031497
600,1000,4,3658882473
600,1000,8,3730477149
700,100,1,587435870
700,100,2,498424882
700,100,4,512965700
700,100,8,615584852
700,200,1,889680266
700,200,2,959729610
700,200,4,907427827
700,200,8,991734399
700,300,1,1371645778
700,300,2,1330283342
700,300,4,1355950407
700,300,8,1331915157
700,400,1,1733616574
700,400,2,1764612675
700,400,4,1800628432
700,400,8,1817056313
700,500,1,2296437127
700,500,2,2206068477
700,500,4,2180803685
700,500,8,2229570200
700,600,1,2640167990
700,600,2,2685557754
700,600,4,2522448774
700,600,8,2686435746
700,700,1,3029953151
700,700,2,3050028259
700,700,4,3037995636
700,700,8,2999160451
700,800,1,3447411544
700,800,2,3470176777
700,800,4,3439531023
700,800,8,3455032119
700,900,1,3973606077
700,900,2,3916324603
700,900,4,3783026956
700,900,8,3883455487
700,1000,1,4330298323
700,1000,2,4322161262
700,1000,4,4267287955
700,1000,8,4391770221
800,100,1,564406542
800,100,2,557908097
800,100,4,633483325
800,100,8,604980852
800,200,1,1082990699
800,200,2,1080465102
800,200,4,1014683897
800,200,8,1124987002
800,300,1,1517940745
800,300,2,1558794387
800,300,4,1518775947
800,300,8,1611405018
800,400,1,1991308382
800,400,2,1983650337
800,400,4,2084404457
800,400,8,2037717906
